Points,Expansions,PlayerCount,Platform,factionsInGame.1,factionsInGame.2,factionsInGame.3,factionsInGame.4,factionsInGame.5,factionsInGame.6,factionsInGame.7,factionsInGame.8,WinningFaction,Index
10,"Prophecy of Kings Only",6,"Async","Sardakk N'orr"," Emirates of Hacan"," Universities of Jol-Nar"," Xxcha Kingdom"," Argent Flight"," Vuil'raith Cabal","","","Xxcha Kingdom",396
10,"Prophecy of Kings Only",6,"Async","Naaz-Rokha Alliance"," Mahact Gene-Sorcerers"," Emirates of Hacan"," Yin Brotherhood"," Keleres ~ Mentak"," Vuil'raith Cabal","","","Keleres ~ Mentak",600
10,"Prophecy of Kings Only",6,"Async","Yssaril Tribes"," Naaz-Rokha Alliance"," Argent Flight"," Titans of Ul"," Naalu Collective"," Vuil'raith Cabal","","","Yssaril Tribes",831
10,"Prophecy of Kings Only",6,"Async","Winnu"," Universities of Jol-Nar"," Barony of Letnev"," Titans of Ul"," Argent Flight"," Vuil'raith Cabal","","","Argent Flight",3184
10,"Prophecy of Kings Only",6,"Async","Federation of Sol"," Xxcha Kingdom"," Yin Brotherhood"," Argent Flight"," Naaz-Rokha Alliance"," Vuil'raith Cabal","","","Vuil'raith Cabal",3252
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," Barony of Letnev"," Mahact Gene-Sorcerers"," Yin Brotherhood"," Empyrean"," Vuil'raith Cabal","","","Mahact Gene-Sorcerers",3688
10,"Prophecy of Kings Only",6,"Async","L1Z1X Mindnet"," Ghosts of Creuss"," Emirates of Hacan"," Federation of Sol"," Sardakk N'orr"," Vuil'raith Cabal","","","Ghosts of Creuss",3701
10,"Prophecy of Kings Only",6,"Async","Yin Brotherhood"," Arborec"," Argent Flight"," Naalu Collective"," Nekro Virus"," Vuil'raith Cabal","","","Arborec",3731
10,"Prophecy of Kings Only",6,"Async","L1Z1X Mindnet"," Nomad"," Clan of Saar"," Mentak Coalition"," Yssaril Tribes"," Vuil'raith Cabal","","","Yssaril Tribes",3741
10,"Prophecy of Kings Only",6,"Async","Sardakk N'orr"," Clan of Saar"," Mentak Coalition"," Emirates of Hacan"," Xxcha Kingdom"," Vuil'raith Cabal","","","Sardakk N'orr",3780
10,"Prophecy of Kings Only",6,"Async","Nomad"," L1Z1X Mindnet"," Arborec"," Emirates of Hacan"," Keleres ~ Mentak"," Vuil'raith Cabal","","","L1Z1X Mindnet",3847
10,"Prophecy of Kings Only",6,"Async","Yin Brotherhood"," Nomad"," Universities of Jol-Nar"," L1Z1X Mindnet"," Keleres ~ Mentak"," Vuil'raith Cabal","","","Keleres ~ Mentak",3896
10,"Prophecy of Kings Only",6,"Async","Winnu"," Mentak Coalition"," Federation of Sol"," Arborec"," Naaz-Rokha Alliance"," Vuil'raith Cabal","","","Vuil'raith Cabal",3922
10,"Prophecy of Kings Only",6,"Async","L1Z1X Mindnet"," Argent Flight"," Winnu"," Federation of Sol"," Nomad"," Vuil'raith Cabal","","","Argent Flight",3945
10,"Prophecy of Kings Only",6,"Async","Titans of Ul"," Winnu"," Federation of Sol"," Mentak Coalition"," Yssaril Tribes"," Vuil'raith Cabal","","","Titans of Ul",3947
10,"Prophecy of Kings Only",6,"Async","Barony of Letnev"," Nekro Virus"," Embers of Muaat"," Mentak Coalition"," Argent Flight"," Vuil'raith Cabal","","","Vuil'raith Cabal",3968
10,"Prophecy of Kings Only",6,"Async","Nomad"," Naalu Collective"," Yssaril Tribes"," Xxcha Kingdom"," Keleres ~ Mentak"," Vuil'raith Cabal","","","Naalu Collective",3979
10,"Prophecy of Kings Only",6,"Async","Embers of Muaat"," Keleres ~ Xxcha"," Emirates of Hacan"," L1Z1X Mindnet"," Ghosts of Creuss"," Vuil'raith Cabal","","","Emirates of Hacan",3990
10,"Prophecy of Kings Only",6,"Async","Empyrean"," Mahact Gene-Sorcerers"," Nekro Virus"," Yssaril Tribes"," Argent Flight"," Vuil'raith Cabal","","","Nekro Virus",3998
10,"Prophecy of Kings Only",6,"Async","Clan of Saar"," Yin Brotherhood"," Federation of Sol"," Ghosts of Creuss"," Universities of Jol-Nar"," Vuil'raith Cabal","","","Yin Brotherhood",4023
10,"Prophecy of Kings Only",6,"Async","Yin Brotherhood"," Federation of Sol"," Barony of Letnev"," Ghosts of Creuss"," Keleres ~ Mentak"," Vuil'raith Cabal","","","Yin Brotherhood",4024
10,"Prophecy of Kings Only",6,"Async","Titans of Ul"," Naalu Collective"," Argent Flight"," L1Z1X Mindnet"," Federation of Sol"," Vuil'raith Cabal","","","Naalu Collective",4025
10,"Prophecy of Kings Only",6,"Async","Empyrean"," Yin Brotherhood"," Keleres ~ Argent"," Naaz-Rokha Alliance"," Mentak Coalition"," Vuil'raith Cabal","","","Mentak Coalition",4030
10,"Prophecy of Kings Only",6,"Async","Empyrean"," Nekro Virus"," Titans of Ul"," Xxcha Kingdom"," Argent Flight"," Vuil'raith Cabal","","","Titans of Ul",4032
10,"Prophecy of Kings Only",6,"Async","Mentak Coalition"," Titans of Ul"," Winnu"," Emirates of Hacan"," L1Z1X Mindnet"," Vuil'raith Cabal","","","Emirates of Hacan",4045
10,"Prophecy of Kings Only",6,"Async","Emirates of Hacan"," Winnu"," Federation of Sol"," Naaz-Rokha Alliance"," Titans of Ul"," Vuil'raith Cabal","","","Vuil'raith Cabal",4060
10,"Prophecy of Kings Only",6,"Async","Mentak Coalition"," Titans of Ul"," Embers of Muaat"," L1Z1X Mindnet"," Xxcha Kingdom"," Vuil'raith Cabal","","","Titans of Ul",4085
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," Federation of Sol"," Nekro Virus"," Mahact Gene-Sorcerers"," Empyrean"," Vuil'raith Cabal","","","Nekro Virus",4140
10,"Prophecy of Kings Only",6,"Async","Clan of Saar"," L1Z1X Mindnet"," Federation of Sol"," Empyrean"," Mahact Gene-Sorcerers"," Vuil'raith Cabal","","","Vuil'raith Cabal",4147
10,"Prophecy of Kings Only",6,"Async","Xxcha Kingdom"," Empyrean"," Titans of Ul"," Clan of Saar"," Naalu Collective"," Vuil'raith Cabal","","","Titans of Ul",4178
10,"Prophecy of Kings Only",6,"Async","L1Z1X Mindnet"," Embers of Muaat"," Keleres ~ Mentak"," Titans of Ul"," Clan of Saar"," Vuil'raith Cabal","","","Keleres ~ Mentak",4204
10,"Prophecy of Kings Only",6,"Async","Xxcha Kingdom"," Naalu Collective"," Universities of Jol-Nar"," Keleres ~ Mentak"," Nekro Virus"," Vuil'raith Cabal","","","Keleres ~ Mentak",4216
10,"Prophecy of Kings Only",6,"Async","Ghosts of Creuss"," Federation of Sol"," Sardakk N'orr"," Naaz-Rokha Alliance"," Embers of Muaat"," Vuil'raith Cabal","","","Naaz-Rokha Alliance",4290
10,"Prophecy of Kings Only",6,"Async","Naaz-Rokha Alliance"," Naalu Collective"," Clan of Saar"," Federation of Sol"," Barony of Letnev"," Vuil'raith Cabal","","","Naalu Collective",4305
10,"Prophecy of Kings Only",6,"Async","Argent Flight"," L1Z1X Mindnet"," Yssaril Tribes"," Ghosts of Creuss"," Clan of Saar"," Vuil'raith Cabal","","","Yssaril Tribes",4314
10,"Prophecy of Kings Only",6,"Async","L1Z1X Mindnet"," Yssaril Tribes"," Embers of Muaat"," Emirates of Hacan"," Nomad"," Vuil'raith Cabal","","","Nomad",4341
10,"Prophecy of Kings Only",6,"Async","Embers of Muaat"," Xxcha Kingdom"," Naaz-Rokha Alliance"," Titans of Ul"," Arborec"," Vuil'raith Cabal","","","Vuil'raith Cabal",4346
10,"Prophecy of Kings Only",6,"Async","Empyrean"," Embers of Muaat"," Barony of Letnev"," Emirates of Hacan"," Universities of Jol-Nar"," Vuil'raith Cabal","","","Universities of Jol-Nar",4358
10,"Prophecy of Kings Only",6,"Async","Yin Brotherhood"," Sardakk N'orr"," Yssaril Tribes"," Clan of Saar"," Argent Flight"," Vuil'raith Cabal","","","Argent Flight",4389
