Index,factionsInGame,Factions.1,Factions.2,Factions.3,Factions.4,Factions.5,Factions.6,Factions.7,Factions.8
6,"Universities of Jol-Nar, Embers of Muaat, Crimson Rebellion,","Universities of Jol-Nar"," Embers of Muaat"," Crimson Rebellion","","","","",""
11,"Emirates of Hacan, Vuil'raith Cabal, Crimson Rebellion,","Emirates of Hacan"," Vuil'raith Cabal"," Crimson Rebellion","","","","",""
49,"The Nekro Virus, The Xxcha Kingdom, The Universities of Jol-Nar,","The Nekro Virus"," The Xxcha Kingdom"," The Universities of Jol-Nar","","","","",""
50,"Barony of Letnev, Naaz-Rokha Alliance, Embers of Muaat,","Barony of Letnev"," Naaz-Rokha Alliance"," Embers of Muaat","","","","",""
52,"Last Bastion, Ral Nel Consortium, Crimson Rebellion,","Last Bastion"," Ral Nel Consortium"," Crimson Rebellion","","","","",""
55,"Winnu, Last Bastion, Mahact Gene-Sorcerers,","Winnu"," Last Bastion"," Mahact Gene-Sorcerers","","","","",""
58,"Last Bastion, Vuil'raith Cabal, Deepwrought Scholarate,","Last Bastion"," Vuil'raith Cabal"," Deepwrought Scholarate","","","","",""
71,"Arborec, Mentak Coalition, Keleres ~ Xxcha,","Arborec"," Mentak Coalition"," Keleres ~ Xxcha","","","","",""
75,"Federation of Sol, Last Bastion, L1Z1X Mindnet,","Federation of Sol"," Last Bastion"," L1Z1X Mindnet","","","","",""
103,"Vuil'raith Cabal, Nomad, Sardakk N'orr,","Vuil'raith Cabal"," Nomad"," Sardakk N'orr","","","","",""
107,"Il Sai Lakoe Herald of Thorns, Il Na Viroset, El Nen Janovet,","Il Sai Lakoe Herald of Thorns"," Il Na Viroset"," El Nen Janovet","","","","",""
119,"El Nen Janovet, The Saint of Swords, A Sickening Lurch,","El Nen Janovet"," The Saint of Swords"," A Sickening Lurch","","","","",""
131,"Nomad, Titans of Ul, Universities of Jol-Nar,","Nomad"," Titans of Ul"," Universities of Jol-Nar","","","","",""
139,"Keleres ~ Mentak, Federation of Sol, Yin Brotherhood,","Keleres ~ Mentak"," Federation of Sol"," Yin Brotherhood","","","","",""
143,"Universities of Jol-Nar, Mentak Coalition, Winnu,","Universities of Jol-Nar"," Mentak Coalition"," Winnu","","","","",""
146,"Barony of Letnev, Vuil'raith Cabal, Clan of Saar,","Barony of Letnev"," Vuil'raith Cabal"," Clan of Saar","","","","",""
156,"Ghosts of Creuss, Emirates of Hacan, Universities of Jol-Nar,","Ghosts of Creuss"," Emirates of Hacan"," Universities of Jol-Nar","","","","",""
169,"Sardakk N'orr, Empyrean, Universities of Jol-Nar,","Sardakk N'orr"," Empyrean"," Universities of Jol-Nar","","","","",""
218,"Il Na Viroset, The Saint of Swords, The Ruby Monarch,","Il Na Viroset"," The Saint of Swords"," The Ruby Monarch","","","","",""
237,"Ral Nel Consortium, Last Bastion, Crimson Rebellion,","Ral Nel Consortium"," Last Bastion"," Crimson Rebellion","","","","",""
270,"Deepwrought Scholarate, Federation of Sol, Nekro Virus,","Deepwrought Scholarate"," Federation of Sol"," Nekro Virus","","","","",""
286,"Arborec, Last Bastion, Yin Brotherhood,","Arborec"," Last Bastion"," Yin Brotherhood","","","","",""
287,"The Yssaril Tribes, The Deepwrought Scholarate, The Mahact Gene-Sorcerers,","The Yssaril Tribes"," The Deepwrought Scholarate"," The Mahact Gene-Sorcerers","","","","",""
304,"Last Bastion, Arborec, Vuil'raith Cabal,","Last Bastion"," Arborec"," Vuil'raith Cabal","","","","",""
330,"The Federation of Sol, The Firmament, The Yssaril Tribes,","The Federation of Sol"," The Firmament"," The Yssaril Tribes","","","","",""
345,"Mahact Gene-Sorcerers, L1Z1X Mindnet, Xxcha Kingdom,","Mahact Gene-Sorcerers"," L1Z1X Mindnet"," Xxcha Kingdom","","","","",""
355,"Mentak Coalition, Yin Brotherhood, Naalu Collective,","Mentak Coalition"," Yin Brotherhood"," Naalu Collective","","","","",""
356,"Federation of Sol, Clan of Saar, Mahact Gene-Sorcerers,","Federation of Sol"," Clan of Saar"," Mahact Gene-Sorcerers","","","","",""
372,"Winnu, L1Z1X Mindnet, Embers of Muaat,","Winnu"," L1Z1X Mindnet"," Embers of Muaat","","","","",""
424,"Universities of Jol-Nar, Sardakk N'orr, Titans of Ul,","Universities of Jol-Nar"," Sardakk N'orr"," Titans of Ul","","","","",""
447,"Arborec, Clan of Saar, Sardakk N'orr,","Arborec"," Clan of Saar"," Sardakk N'orr","","","","",""
449,"Naalu Collective, Last Bastion, Ghosts of Creuss,","Naalu Collective"," Last Bastion"," Ghosts of Creuss","","","","",""
467,"Sardakk N'orr, Universities of Jol-Nar, Embers of Muaat,","Sardakk N'orr"," Universities of Jol-Nar"," Embers of Muaat","","","","",""
478,"Yssaril Tribes, Arborec, Embers of Muaat,","Yssaril Tribes"," Arborec"," Embers of Muaat","","","","",""
485,"Embers of Muaat, Mentak Coalition, Winnu,","Embers of Muaat"," Mentak Coalition"," Winnu","","","","",""
505,"Vuil'raith Cabal, Deepwrought Scholarate, Embers of Muaat,","Vuil'raith Cabal"," Deepwrought Scholarate"," Embers of Muaat","","","","",""
519,"Barony of Letnev, Yin Brotherhood, Embers of Muaat,","Barony of Letnev"," Yin Brotherhood"," Embers of Muaat","","","","",""
529,"Il Sai Lakoe Herald of Thorns, Radiant Aur, El Nen Janovet,","Il Sai Lakoe Herald of Thorns"," Radiant Aur"," El Nen Janovet","","","","",""
536,"Xxcha Kingdom, Clan of Saar, L1Z1X Mindnet,","Xxcha Kingdom"," Clan of Saar"," L1Z1X Mindnet","","","","",""
555,"Vuil'raith Cabal, Mahact Gene-Sorcerers, Yin Brotherhood,","Vuil'raith Cabal"," Mahact Gene-Sorcerers"," Yin Brotherhood","","","","",""
