Index,Points,Expansions,PlayerCount,Platform,A Sickening Lurch,Arborec,Argent Flight,Avarice Rex,Barony of Letnev,Clan of Saar,Crimson Rebellion,Deepwrought Scholarate,El Nen Janovet,Embers of Muaat,Emirates of Hacan,Empyrean,Expansions_y,Federation of Sol,Firmament,Ghosts of Creuss,Il Na Viroset,"Il Sai Lakoe, Herald of Thorns",Keleres Argent,Keleres Mentak,KeleresMentakArgent,KeleresMentakMentak,KeleresMentakXxcha,Keleres Xxcha,L1Z1X Mindnet,Last Bastion,Mahact Gene-Sorcerers,Mentak Coalition,Naalu Collective,Naaz-Rokha Alliance,Nekro Virus,Nomad,Obsidian,Platform_y,PlayerCount_y,Radiant Aur,Ral Nel Consortium,Ruby Monarch,Saint of Swords,Sardakk N'orr,Titans of Ul,Universities of Jol-Nar,Vuil'raith Cabal,Winnu,Xxcha Kingdom,Yin Brotherhood,Yssaril Tribes
396,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,0,0,0,0,0,1,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,1,0,1,1,0,1,0,0
600,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,1,0,Prophecy of Kings Only,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,1,0
831,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Async,6,0,0,0,0,0,1,0,1,0,0,0,1
3184,10,Prophecy of Kings Only,6,Async,0,0,1,0,1,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,1,1,1,1,0,0,0
3252,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,1,1,0
3688,10,Prophecy of Kings Only,6,Async,0,0,1,0,1,0,0,0,0,0,0,1,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,1,0
3701,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,1,0,Prophecy of Kings Only,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,1,0,0,1,0,0,0,0
3731,10,Prophecy of Kings Only,6,Async,0,1,1,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,1,0
3741,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,1,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,1
3780,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,1,0,0,0,0,1,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Async,6,0,0,0,0,1,0,0,1,0,1,0,0
3847,10,Prophecy of Kings Only,6,Async,0,1,0,0,0,0,0,0,0,0,1,0,Prophecy of Kings Only,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
3896,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,Async,6,0,0,0,0,0,0,1,1,0,0,1,0
3922,10,Prophecy of Kings Only,6,Async,0,1,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Async,6,0,0,0,0,0,0,0,1,1,0,0,0
3945,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Async,6,0,0,0,0,0,0,0,1,1,0,0,0
3947,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Async,6,0,0,0,0,0,1,0,1,1,0,0,1
3968,10,Prophecy of Kings Only,6,Async,0,0,1,0,1,0,0,0,0,1,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
3979,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,Async,6,0,0,0,0,0,0,0,1,0,1,0,1
3990,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,1,1,0,Prophecy of Kings Only,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
3998,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,0,0,0,0,0,0,1,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,1
4023,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,1,0,0,0,0,0,0,Prophecy of Kings Only,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,1,1,0,0,1,0
4024,10,Prophecy of Kings Only,6,Async,0,0,0,0,1,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,1,0
4025,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,Async,6,0,0,0,0,0,1,0,1,0,0,0,0
4030,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,1,Prophecy of Kings Only,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,1,0
4032,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,0,0,0,0,0,0,1,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Async,6,0,0,0,0,0,1,0,1,0,1,0,0
4045,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,1,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Async,6,0,0,0,0,0,1,0,1,1,0,0,0
4060,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,1,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Async,6,0,0,0,0,0,1,0,1,1,0,0,0
4085,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,1,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Async,6,0,0,0,0,0,1,0,1,0,1,0,0
4140,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,0,0,0,0,0,0,1,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
4147,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,1,0,0,0,0,0,1,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
4178,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,1,0,0,0,0,0,1,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Async,6,0,0,0,0,0,1,0,1,0,1,0,0
4204,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,1,0,0,0,1,0,0,Prophecy of Kings Only,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,1,0,1,0,0,0,0
4216,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,Async,6,0,0,0,0,0,0,1,1,0,1,0,0
4290,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,1,0,0,Prophecy of Kings Only,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Async,6,0,0,0,0,1,0,0,1,0,0,0,0
4305,10,Prophecy of Kings Only,6,Async,0,0,0,0,1,1,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
4314,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,1,0,0,0,0,0,0,Prophecy of Kings Only,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,1
4341,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,1,1,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,1
4346,10,Prophecy of Kings Only,6,Async,0,1,0,0,0,0,0,0,0,1,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Async,6,0,0,0,0,0,1,0,1,0,1,0,0
4358,10,Prophecy of Kings Only,6,Async,0,0,0,0,1,0,0,0,0,1,1,1,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,1,1,0,0,0,0
4389,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,1,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,1,0,0,1,0,0,1,1
4416,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,1,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,1,1,0,0,1,1
4424,10,Prophecy of Kings Only,6,Async,0,0,0,0,1,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,1,1,0,1,0,0,0,1
4448,10,Prophecy of Kings Only,6,Async,0,0,0,0,1,0,0,0,0,1,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,Async,6,0,0,0,0,0,1,0,1,0,0,0,0
4471,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,Async,6,0,0,0,0,0,1,0,1,0,0,0,0
4480,10,Prophecy of Kings Only,6,Async,0,1,0,0,1,1,0,0,0,0,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
4544,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,1,0,1,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Async,6,0,0,0,0,0,1,1,1,0,0,0,0
4545,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,Async,6,0,0,0,0,0,1,0,1,0,1,0,0
4549,10,Prophecy of Kings Only,6,Async,0,0,1,0,1,1,0,0,0,0,0,0,Prophecy of Kings Only,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,1,1,0,0,0,0
4581,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,1,0,0,Prophecy of Kings Only,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
4666,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
4680,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,0,0,0,0,0,0,0,Prophecy of Kings Only,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,Async,6,0,0,0,0,0,1,0,1,0,0,1,0
4682,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,0,0,0,0,0,1,0,Prophecy of Kings Only,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Async,6,0,0,0,0,0,0,1,1,0,0,0,0
4704,10,Prophecy of Kings Only,6,Async,0,0,1,0,0,1,0,0,0,1,0,0,Prophecy of Kings Only,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,1
4708,10,Prophecy of Kings Only,6,Async,0,0,0,0,0,1,0,0,0,0,1,0,Prophecy of Kings Only,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,Async,6,0,0,0,0,0,0,0,1,0,0,0,0
