Index,WinningFaction
396,XxchaKingdom
600,KeleresMentak
831,YssarilTribes
3184,ArgentFlight
3252,Vuil'raithCabal
3688,MahactGeneSorcerers
3701,GhostsofCreuss
3731,Arborec
3741,YssarilTribes
3780,SardakkN'orr
3847,L1Z1XMindnet
3896,KeleresMentak
3922,Vuil'raithCabal
3945,ArgentFlight
3947,TitansofUl
3968,Vuil'raithCabal
3979,NaaluCollective
3990,EmiratesofHacan
3998,NekroVirus
4023,YinBrotherhood
4024,YinBrotherhood
4025,NaaluCollective
4030,MentakCoalition
4032,TitansofUl
4045,EmiratesofHacan
4060,Vuil'raithCabal
4085,TitansofUl
4140,NekroVirus
4147,Vuil'raithCabal
4178,TitansofUl
4204,KeleresMentak
4216,KeleresMentak
4290,NaazRokhaAlliance
4305,NaaluCollective
4314,YssarilTribes
4341,Nomad
4346,Vuil'raithCabal
4358,UniversitiesofJolNar
4389,ArgentFlight
4416,MahactGeneSorcerers
4424,YssarilTribes
4448,TitansofUl
4471,L1Z1XMindnet
4480,ClanofSaar
4544,UniversitiesofJolNar
4545,Nomad
4549,GhostsofCreuss
4581,NaaluCollective
4666,MentakCoalition
4680,MahactGeneSorcerers
4682,EmiratesofHacan
4704,Vuil'raithCabal
4708,KeleresMentak
4721,EmiratesofHacan
4725,NekroVirus
4782,Vuil'raithCabal
4798,SardakkN'orr
4812,ArgentFlight
4856,UniversitiesofJolNar
4906,EmiratesofHacan
4912,KeleresMentak
4931,Vuil'raithCabal
4940,NaazRokhaAlliance
4946,ArgentFlight
4996,NekroVirus
5002,Vuil'raithCabal
5003,Vuil'raithCabal
5006,GhostsofCreuss
5009,FederationofSol
5062,MentakCoalition
5126,EmbersofMuaat
5166,FederationofSol
5206,ClanofSaar
5247,Vuil'raithCabal
5343,Empyrean
5371,XxchaKingdom
5378,Vuil'raithCabal
5404,TitansofUl
5450,NekroVirus
5467,KeleresMentak
5491,MahactGeneSorcerers
5504,Winnu
5521,Empyrean
5553,Nomad
5575,YssarilTribes
5584,Winnu
5587,UniversitiesofJolNar
5588,Nomad
5593,KeleresXxcha
5640,UniversitiesofJolNar
5657,EmiratesofHacan
5687,NaaluCollective
5696,SardakkN'orr
5705,Vuil'raithCabal
5744,NaaluCollective
5782,FederationofSol
5785,EmbersofMuaat
5788,EmiratesofHacan
5817,Winnu
5826,Arborec
5871,MahactGeneSorcerers
5897,TitansofUl
5932,MahactGeneSorcerers
5969,ClanofSaar
5985,KeleresMentak
5996,TitansofUl
6004,YssarilTribes
6027,YssarilTribes
6070,MahactGeneSorcerers
6074,YssarilTribes
6089,NaaluCollective
6117,YssarilTribes
6148,MahactGeneSorcerers
6227,L1Z1XMindnet
6260,Vuil'raithCabal
6266,NaazRokhaAlliance
6287,Empyrean
6316,Vuil'raithCabal
6342,ArgentFlight
6363,GhostsofCreuss
6370,KeleresMentak
6424,TitansofUl
6432,NaazRokhaAlliance
6502,UniversitiesofJolNar
6548,L1Z1XMindnet
6555,TitansofUl
6567,ClanofSaar
6579,SardakkN'orr
6594,KeleresMentak
6596,ClanofSaar
6617,MahactGeneSorcerers
6630,ClanofSaar
6650,YssarilTribes
6674,Nomad
6678,NaazRokhaAlliance
6681,ClanofSaar
6683,YinBrotherhood
6716,NaazRokhaAlliance
6729,Vuil'raithCabal
6792,TitansofUl
6828,FederationofSol
6843,NekroVirus
6893,GhostsofCreuss
6909,Empyrean
6991,NekroVirus
7007,GhostsofCreuss
7008,YssarilTribes
7009,MahactGeneSorcerers
